Length,count
0,13
1,11
2,28
3,71
4,89
5,55
6,44
7,18
8,31
9,70
10,53
11,44
12,49
13,63
14,94
15,64
16,69
17,299
18,73
19,80
20,83
21,125
22,84
23,92
24,86
25,102
26,86
27,103
28,111
29,80
30,66
31,266
32,91
33,39
34,42
35,59
36,44
37,48
38,48
39,29
40,42
41,35
42,17
43,19
44,27
45,16
46,20
47,29
48,26
49,8
50,12
51,53
52,24
53,15
54,10
55,12
56,2
57,2
58,5
59,1
60,3
61,0
62,8
63,5
64,1
65,0
66,1
67,1
68,0
69,2
70,1
71,0
72,0
73,0
74,0
75,1
76,1
77,1
78,1
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,0
131,0
132,0
133,0
134,0
135,1
136,1
