id,text,intent,datetime
2366,jarak,other,1490432465
984,aja,asking-question-other,1492392958
411,jadwal krl pondok cina,asking-question-schedule,1492469978
2173,berangkat dari cikarang ke stasiun bekasi,asking-question-direction,1490484514
1297,yeay,giving-positive-feedback,1492029815
3175,yah sedih,giving-negative-feedback,1489903601
2914,,giving-negative-feedback,1489911774
2619,wow,giving-positive-feedback,1490254291
2926,pergi ke ui dari rumah,other,1489912389
2277,test,other,1490474154
493,pencipta,asking-question-other,1492486778
1642,tampilkan jadwal krl stasiun bekasi,asking-question-schedule,1491169785
1454,hi,greeting,1491877820
626,aja,asking-question-other,1492444747
2609,tanyajalan bye,greeting,1490241651
439,aja,asking-question-other,1492474072
2951,jelek,giving-negative-feedback,1489914817
1982,min rekomendasi jalan yg cepat,other,1490572836
1119,aja,asking-question-other,1492032267
2093,harga,other,1490503416
2127,ui ke masjid salman al farisi,asking-question-direction,1490477145
2766,tampilkan jadwal krl stasiun pondokcina,asking-question-schedule,1489998420
3063,aduh bgt 2 kereta ,giving-negative-feedback,1489907286
2940,,giving-negative-feedback,1489914378
2583,jadwal,other,1490417602
2773,pinang ranti ke bogor,other,1489999131
1186,aja,asking-question-other,1492048283
2571,hai,greeting,1490417133
1561,jadwal,asking-question-schedule,1491637169
3391,halo,greeting,1488858960
2333,berangkat dari ui ke cibulan kuningan,asking-question-direction,1490430306
3315,mantap,giving-positive-feedback,1488844991
327,berangkat dari menteng asri ke gang dolly,asking-question-direction,1492497797
330,gang dolly gin,giving-positive-feedback,1492497812
1419,kk,other,1491723139
1429,tampilkan jadwal krl stasiun jatinegara,asking-question-schedule,1491773448
2209,tampilkan jadwal krl stasiun pondokcina,asking-question-schedule,1490457570
1318,jadwal krl,asking-question-schedule,1491894442
1,dari rawamangun ke kota kasablanka,asking-question-direction,1492886502
2917,payah,giving-negative-feedback,1489911905
2136,babi,giving-negative-feedback,1490477957
3038,tanyajalan perkenalkan,greeting,1489906764
2077,iya emg gada niat ,other,1490502093
1160,aja,asking-question-other,1492043299
1269,hu,giving-negative-feedback,1492021168
1055,tanyajalan perkenalin,asking-question-other,1492133066
2292,tampilkan jadwal krl stasiun manggarai,asking-question-schedule,1490475268
3258,tanyajalan bye,greeting,1488876042
377,perkenalin,other,1492551727
3250,tanyajalan bye,greeting,1488875899
1194,aja,asking-question-other,1492057884
920,kerwta,other,1492228262
2537,jadwal krl stasiun sudimara,asking-question-schedule,1490415465
1430,hy,greeting,1491782491
964,dari blok m ke depok,asking-question-direction,1492378366
2908,gilaaaaaa,giving-negative-feedback,1489911738
1654,thanks tanyajalan for everything,giving-positive-feedback,1491287209
3130,halo,greeting,1489888720
1640,boom,other,1491082955
476,tanyajalan perkenalin,asking-question-other,1492485869
1175,aja,asking-question-other,1492047022
1339,berangkat dari kutek ke kukel,asking-question-direction,1491902752
2123,bego bin wkwkk,giving-negative-feedback,1490476257
3369,hi,greeting,1488856286
1423,wkwk,other,1491723173
3323,boom,other,1488846352
2601,terima kasih,giving-positive-feedback,1490234181
49,dari ui ke tanah kusir,asking-question-direction,1493096656
3003,tanyajalan bye,greeting,1489904976
2515,tampilkan jadwal krl stasiun juanda,asking-question-schedule,1490412467
1991,cek jadwal,asking-question-schedule,1490575413
351,aja,asking-question-other,1492512995
1979,goodluck gengs,giving-positive-feedback,1490570944
3201,mantap,giving-positive-feedback,1488859629
38,tampilkan jadwal krl stasiun manggarai,asking-question-schedule,1493078598
2967,,giving-negative-feedback,1489916080
3205,terima kasih,giving-positive-feedback,1488859673
2641,tanyajalan bye,greeting,1490326863
1789,banget,giving-negative-feedback,1490836780
2241,motor aja ah,other,1490468499
1095,aja,asking-question-other,1492192715
1465,jadwal stasiun universitas indonesia,asking-question-schedule,1491883092
3277,tunjukin jalan dari margonda ke grogol,asking-question-direction,1488880921
1526,thanks,giving-positive-feedback,1491610365
3048,semangat,giving-positive-feedback,1489907077
3375,ke bogor,asking-question-direction,1488856421
1881,jadwal krl stasiun kota,asking-question-schedule,1490690295
3164,tanyajalan perkenalkan,greeting,1489902916
2145,jadwal krl stasiun juanda,asking-question-schedule,1490479304
1032,dari serpong ke cilebut bogor,asking-question-direction,1492079796
2271,jadwal krl stasiun depok,asking-question-schedule,1490473192
2808,woi,greeting,1489920487
1048,aja,asking-question-other,1492129081
601,tanyajalan perkenalin,asking-question-other,1492440654
2781,iya,greeting,1490002673
1050,yee makasih,giving-positive-feedback,1492129133
2005,ancol bekasi gimana jalannya,giving-positive-feedback,1490492172
3266,payah,giving-negative-feedback,1488876344
2974,dari ke tokyo,other,1489916147
2100,based on gmaps kah,asking-question-other,1490475487
1228,aja,asking-question-other,1491972462
1614,dari universitas indonesia ke ruma pt,asking-question-direction,1490914210
2234,dibikin pake ,asking-question-other,1490468405
1366,dari ui ke ugm,asking-question-direction,1491920848
1148,jadwal stasiun manggarai,asking-question-schedule,1492035903
3029,udah wkwk,other,1489906120
2363,dari pondok gede ke tebet,asking-question-direction,1490431707
1482,thanks teman jalan,giving-positive-feedback,1491887526
2987,bot bangsat,giving-negative-feedback,1489916369
3192,halo,greeting,1489904022
3382,halo,greeting,1488858580
694,tanyajalan perkenalin,asking-question-other,1492452849
980,ui ke gunadarma,asking-question-direction,1492386218
3402,dari fasilkom ui ke central park,asking-question-direction,1488792586
3117,hi,greeting,1488929769
2036,hahahaha,other,1490499728
143,cek ngoding,other,1492648570
2130,ciwalk ke pvj 3 km,asking-question-direction,1490477183
2360,bu ditambah rutenya trs cari shortest pathnya ,giving-negative-feedback,1490431647
615,dari citeureup ke cibinong city mall,asking-question-direction,1492442258
1114,undefined,other,1492032138
2955,bagus deh,giving-positive-feedback,1489914834
2958,hi,greeting,1489915001
2948,dari angke indah ke vihara dhammacakka,asking-question-direction,1489914618
3108,payah,giving-negative-feedback,1488913658
2354,berangkat dari ui ke depok,asking-question-direction,1490431421
2787,jadwal stasiun jakarta kota,asking-question-schedule,1490032392
2469,susah sia,giving-negative-feedback,1490424193
2700,hi,greeting,1489992300
2405,cupu abi,giving-negative-feedback,1490420327
623,aja,asking-question-other,1492444027
2648,,giving-positive-feedback,1490328996
3291,keren,giving-positive-feedback,1488881977
1415,help,asking-question-other,1491722610
3061,parah,giving-negative-feedback,1489907259
2608,nice,giving-positive-feedback,1490241636
2562,dari universitas indonesia ke universitas gajah mada,asking-question-direction,1490416468
184,jadwal krl universitasindonesia,asking-question-schedule,1492807318
332,berangkat dari menteng asri ke gang selot,asking-question-direction,1492497830
2680,wow,giving-positive-feedback,1490345955
2977,dari ke,other,1489916203
1473,dari fasilkom ke slipi,asking-question-direction,1491887332
203,berangkat dari bekasi ke tambun,asking-question-direction,1492593245
2954,cupu,giving-negative-feedback,1489914830
1387,keren banget,giving-positive-feedback,1491938889
1205,coba jadwal krl tanah abang,asking-question-schedule,1491964681
3309,pergi dari fasilkom ke traveloka,asking-question-direction,1488842433
463,tampilkan jadwal krl stasiun duri,asking-question-schedule,1492478652
2813,iya gpp,greeting,1489920589
3398,payah,giving-negative-feedback,1488859618
290,dari fasilkom ke perpusat,asking-question-direction,1492638312
1575,thanks,giving-positive-feedback,1491637747
1921,hmmm menarik,giving-positive-feedback,1490514150
1717,berangkat dari stasiun gambir ke ice bsd,asking-question-direction,1490744116
1990,1,other,1490575394
3096,dari angke indah ke trisakkti school of management,asking-question-direction,1489910621
2812,gamau,giving-negative-feedback,1489920583
2925,pergi ke kampus dari rumah,other,1489912381
3238,thanks,giving-positive-feedback,1488871938
2014,ke bekasi dari depok,asking-question-direction,1490493698
3305,ke monas dari ancol,asking-question-direction,1488792764
2381,jadwal krl pondok cina,asking-question-schedule,1490436412
3396,ga,giving-negative-feedback,1488859207
3042,tanyajalan perkenalkan,greeting,1489906949
3379,mantap,giving-positive-feedback,1488856455
2897,halo,greeting,1489991953
1414,rute trans jakarta,asking-question-schedule,1491722582
2055,jadwal krl stasiun la,asking-question-schedule,1490500633
2966,yahh gt,giving-negative-feedback,1489916076
3239,fly,other,1488871943
2281,dari bekasi ke pulau komodo,asking-question-schedule,1490474503
1653,terimakasih thankyou,giving-positive-feedback,1491283045
225,ngapain aja,asking-question-other,1492631198
320,jalan,giving-negative-feedback,1492497719
2428,jalan bye,greeting,1490422095
2384,berangkat dari ui ke aja,other,1490438173
1075,tanyajalan perkenalin,asking-question-other,1492143964
1752,cek jadwal krl stasiun rawa buntu,asking-question-schedule,1490778652
3151,thanks,giving-positive-feedback,1489901980
3200,ga,giving-negative-feedback,1488859624
2458,dari ke rumah mantan,other,1490423727
1202,aja,asking-question-other,1491959673
1513,alamatnya salah,giving-negative-feedback,1491513169
2573,,giving-negative-feedback,1490417156
3385,woe,greeting,1488858757
2053,anjing,giving-negative-feedback,1490500618
2918,bagus deh,giving-positive-feedback,1489911922
2728,ah tai,giving-negative-feedback,1489994942
3386,gamau,giving-negative-feedback,1488858762
658,tanyajalan perkenalin,asking-question-other,1492447346
1562,wih,giving-positive-feedback,1491637174
2924,jalan dari rumah ke kampus,other,1489912369
2577,dari sman 3 bogor kerumah ku,other,1490417255
501,cek jadwal krl cawang,asking-question-schedule,1492454628
2377,ui ke rumah pacar,other,1490435753
1657,jadwal krl stasiun ui,asking-question-schedule,1491288864
2022,sial,giving-negative-feedback,1490496099
2635,jadwal stasiun universitas indonesia,asking-question-schedule,1490324786
2712,jadwal krl stasiun manggarai,asking-question-schedule,1489994102
23,tampilkan jadwal krl stasiun manggarai,asking-question-schedule,1492971732
912,aja,asking-question-other,1492228114
3367,hi,greeting,1488856113
649,aja,asking-question-other,1492447110
2732,woi,greeting,1489995081
372,rute busway,asking-question-schedule,1492548214
2417,margonda ke depok town square,asking-question-direction,1490421880
1121,undefined,other,1492032296
2531,jadwal krl stasiun maja,asking-question-schedule,1490415383
2715,halo,greeting,1489994303
1879,lokasi,asking-question-other,1490690265
3101,nice,giving-positive-feedback,1488913478
1749,cek jadwal krl stasiun univ indonesia,asking-question-schedule,1490778609
2143,cot,giving-negative-feedback,1490478907
3207,woi,giving-positive-feedback,1488860270
