,id,text,intent,datetime
0,0,Dari rawamangun ke kokas,asking-question-direction,1492886491.0
1,1,Dari rawamangun ke Kota kasablanka,asking-question-direction,1492886502.0
2,2,Kamu bisa apa aja?,asking-question-other,1492898204.0
3,3,TanyaJalan perkenalin diri dong,asking-question-other,1492898204.0
4,4,halo,greeting,1492898226.0
5,5,jalan dari Bogor ke malang?,asking-question-direction,1492898242.0
6,6,jalan dari Bogor ke malang?,asking-question-direction,1492898242.0
7,7,cariin jalan dong,asking-question-direction,1492898252.0
8,8,jalan dari Slipi ke karet?,asking-question-direction,1492898271.0
9,9,Kamu bisa apa aja?,asking-question-other,1492901653.0
10,10,TanyaJalan perkenalin diri dong,asking-question-other,1492901655.0
11,11,Bagi jadwal krl,asking-question-schedule,1492901682.0
12,12,Cek jadwal krl stasiun ui,asking-question-schedule,1492901695.0
13,13,Cek jadwal krl stasiun pocin,asking-question-schedule,1492901710.0
14,14,Cek jadwal krl stasiun pondok cina,asking-question-schedule,1492901724.0
15,15,Kamu bisa apa aja?,asking-question-other,1492902155.0
16,16,jadwal krl,asking-question-schedule,1492902182.0
17,17,jadwal krl bogor,asking-question-schedule,1492902200.0
18,18,tampilkan lebih banyak jadwal krl stasiun BOGOR,asking-question-schedule,1492902207.0
19,19,TanyaJalan perkenalin diri dong,asking-question-other,1492907273.0
20,20,Kamu bisa apa aja?,asking-question-other,1492907273.0
21,21,Dari stasiun ui ke limelight,asking-question-direction,1492969693.0
22,22,Dari ui ke limelight,asking-question-direction,1492969696.0
23,23,tampilkan lebih banyak jadwal krl stasiun MANGGARAI,asking-question-schedule,1492971732.0
24,24,tampilkan lebih banyak jadwal krl stasiun MANGGARAI,asking-question-schedule,1492972077.0
25,25,Dari ui ke lebak bulus,asking-question-direction,1492972587.0
26,26,TanyaJalan perkenalin diri dong,asking-question-other,1492972686.0
27,27,Dari ui ke cempaka lestari raya,asking-question-direction,1492972704.0
28,28,Dari ui ke cilandak town square,asking-question-direction,1492972987.0
29,29,Dari stasiun tebet ke festival plaza,asking-question-direction,1492986017.0
30,30,TanyaJalan perkenalin diri dong,asking-question-other,1493003046.0
31,31,Berangkat dari Balai Kota Depok ke Fasilkom UI,asking-question-direction,1493003081.0
32,32,Kamu bisa apa aja?,asking-question-other,1493078166.0
33,33,Dari otista ke tripvisto,asking-question-direction,1493078193.0
34,34,Dari otista ke tripvisto,asking-question-direction,1493078193.0
35,35,tampilkan lebih banyak jadwal krl stasiun JATINEGARA,asking-question-schedule,1493078575.0
36,36,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1493078598.0
37,37,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1493078598.0
38,38,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1493078598.0
39,39,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1493079917.0
40,40,tampilkan lebih banyak jadwal krl stasiun universitasindonesia,asking-question-schedule,1493079950.0
41,41,Cara ke bukalapak,asking-question-direction,1493091969.0
42,42,Cara ke bukalapak,asking-question-direction,1493091969.0
43,43,Cara ke bukalapak,asking-question-direction,1493091969.0
44,44,Cara ke bukalapak,asking-question-direction,1493091969.0
45,45,Dari UI ke bukalapak,asking-question-direction,1493091985.0
46,46,dari ui ke tanah kusir,asking-question-direction,1493096656.0
47,47,dari ui ke tanah kusir,asking-question-direction,1493096656.0
48,48,dari ui ke tanah kusir,asking-question-direction,1493096656.0
49,49,dari ui ke tanah kusir,asking-question-direction,1493096656.0
50,50,dari ui ke tanah kusir,asking-question-direction,1493096656.0
51,51,Pulang ke jalan kampung Marga Jaya lewat mana,asking-question-direction,1493098514.0
52,52,Pulang ke daerah jalan kampung Marga Jaya Serpong lewat mana,asking-question-direction,1493098574.0
53,53,Pulang ke Pondok Indah lewat mana,asking-question-direction,1493098614.0
54,54,Pulang ke Pondok Indah lewat mana,asking-question-direction,1493098614.0
55,55,stasiun pondok ranji ke kalibata,asking-question-direction,1493100394.0
56,56,stasiun pondok ranji ke kalibata,asking-question-direction,1493100394.0
57,57,stasiun pondok ranji ke kalibata,asking-question-direction,1493100394.0
58,58,Bagaimana cara dari bogor ke kota Kasablanka,asking-question-direction,1493102619.0
59,59,Dari ui ke ariobimo central,asking-question-direction,1493138062.0
60,60,Dari ui ke ariobimo central,asking-question-direction,1493138062.0
61,61,Dari ui ke ariobimo central,asking-question-direction,1493138062.0
62,62,Dari ui ke sentul,asking-question-direction,1493196177.0
63,63,"Dari ui ke sentul, bogor",asking-question-direction,
64,64,"Dari ui ke sentul, bogor",asking-question-direction,
65,65,"Dari ui ke sentul, bogor",asking-question-direction,
66,66,"Dari ui ke sentul, bogor",asking-question-direction,
67,67,"Dari ui ke sentul, bogor",asking-question-direction,
68,68,dari tanjung barat ke kampus perbanas,asking-question-direction,1493213065.0
69,69,Kamu bisa apa aja?,asking-question-other,1493233280.0
70,70,Kamu bisa apa aja?,asking-question-other,1493233280.0
71,71,Kamu bisa apa aja?,asking-question-other,1493233280.0
72,72,Kamu bisa apa aja?,asking-question-other,1493233280.0
73,73,Kamu bisa apa aja?,asking-question-other,1493233280.0
74,74,Kamu bisa apa aja?,asking-question-other,1493233280.0
75,75,Kamu bisa apa aja?,asking-question-other,1493233280.0
76,76,TanyaJalan perkenalin diri dong,asking-question-other,1493233281.0
77,77,TanyaJalan perkenalin diri dong,asking-question-other,1493233281.0
78,78,TanyaJalan perkenalin diri dong,asking-question-other,1493233281.0
79,79,Dari universitas indonesia ke fx sudirman,asking-question-direction,1493236197.0
80,80,Dari universitas indonesia ke fx sudirman,asking-question-direction,1493236197.0
81,81,Dari universitas indonesia ke fx sudirman,asking-question-direction,1493236197.0
82,82,Dari universitas indonesia ke fx sudirman,asking-question-direction,1493236197.0
83,83,Dari universitas indonesia ke fx sudirman,asking-question-direction,1493236197.0
84,84,Dari universitas indonesia ke fx sudirman,asking-question-direction,1493236197.0
85,85,TanyaJalan perkenalin diri dong,asking-question-other,1493245767.0
86,86,TanyaJalan perkenalin diri dong,asking-question-other,1493245767.0
87,87,TanyaJalan perkenalin diri dong,asking-question-other,1493245767.0
88,88,TanyaJalan perkenalin diri dong,asking-question-other,1493245767.0
89,89,TanyaJalan perkenalin diri dong,asking-question-other,1493245767.0
90,90,Kamu bisa apa aja?,asking-question-other,1493245780.0
91,91,Kamu bisa apa aja?,asking-question-other,1493245780.0
92,92,Kamu bisa apa aja?,asking-question-other,1493245780.0
93,93,Kamu bisa apa aja?,asking-question-other,1493245780.0
94,94,Kamu bisa apa aja?,asking-question-other,1493245780.0
95,95,Jadwal krl stasiun bogor,asking-question-schedule,1493245805.0
96,96,Jadwal krl stasiun bogor,asking-question-schedule,1493245805.0
97,97,Jadwal krl stasiun bogor,asking-question-schedule,1493245805.0
98,98,Jadwal krl stasiun bogor,asking-question-schedule,1493245805.0
99,99,Jadwal krl stasiun bogor,asking-question-schedule,1493245805.0
100,100,Jadwal krl kota,asking-question-schedule,1492638576.0
101,101,Jadwal krl ui,asking-question-schedule,1492638586.0
102,102,Jadwal krl stasiun ui,asking-question-schedule,1492638593.0
103,103,Jadwal krl jakarta kota,asking-question-schedule,1492638602.0
104,104,Kamu bisa apa aja?,asking-question-other,1492640047.0
