id,text,intent,datetime
2543,fakya,other,1490415740.0
2,kamu bisa apa saja,asking-question-other,1492898204.0
1264,hai,greeting,1492021000.0
158,dari jakarta ke sini,asking-question-direction,1492721079.0
1757,jadwal krl stasiun kranji,asking-question-schedule,1490781335.0
2170,help,asking-question-other,1490484223.0
2951,jelek,giving-negative-feedback,1489914817.0
2956,haha,giving-positive-feedback,1489914836.0
526,jalan ke its,asking-question-direction,1492459965.0
2680,wow,giving-positive-feedback,1490345955.0
323,elah masa  menit,giving-negative-feedback,1492497728.0
333,dari rumah saya ke rumah doi terus ngaterin dia buat prom abis itu balik lagi,asking-question-direction,1492497851.0
2296,berangkat dari ugm ke ui,asking-question-direction,1490475351.0
3130,halo,greeting,1489888720.0
3073,berangkat dari ui,other,1489909173.0
3206,thanks,giving-positive-feedback,1488859677.0
2835,whewwww,other,1489952747.0
3396,tidak jelas,giving-negative-feedback,1488859207.0
3242,ini apaan,greeting,1488872780.0
3036,woh,giving-positive-feedback,1489906653.0
172,mager,giving-negative-feedback,1492737088.0
2802,tanyajalan perkenalkan diri,greeting,1489919334.0
2965,bagaimana cara dari aku ke masa depan,other,1489916063.0
2022,sial,giving-negative-feedback,1490496099.0
1265,tanyajalan perkenalin diri dong,asking-question-other,1492021098.0
1312,haow,greeting,1491894311.0
379,aku tidak mau tahu jadwal krl stasiun poris,giving-negative-feedback,1492551783.0
2236,anjay,other,1490468422.0
1831,masa jauh,giving-negative-feedback,1490655583.0
2123,bodoh bin wkwkk,giving-negative-feedback,1490476257.0
1881,jadwal krl stasiun kota,asking-question-schedule,1490690295.0
315,mantap,giving-positive-feedback,1492497694.0
174,,other,1492737109.0
1493,jadwal,asking-question-schedule,1491887808.0
20,kamu bisa apa saja,asking-question-other,1492907273.0
1523,halo,greeting,1491610282.0
1153,tanyajalan perkenalin diri dong,asking-question-other,1492040369.0
2973,dari aku ke melbourne,other,1489916138.0
2615,wah,giving-positive-feedback,1490253826.0
2469,susah sia,giving-negative-feedback,1490424193.0
2527,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1490415328.0
2944,payah,giving-negative-feedback,1489914550.0
670,kamu bisa apa saja,asking-question-other,1492448156.0
1394,bye,greeting,1491938974.0
65,dari ui ke sentul bogor,asking-question-direction,
2911,tidak mau,giving-negative-feedback,1489911756.0
1513,alamatnya salah itu,giving-negative-feedback,1491513169.0
1147,tanyajalan perkenalin diri dong,asking-question-other,1492035887.0
3032,terima kasih,giving-positive-feedback,1489906198.0
2778,hai,greeting,1490002653.0
3133,jadwal kereta stasiun ui,asking-question-schedule,1489894414.0
1482,thanks teman jalan,giving-positive-feedback,1491887526.0
2552,citraland,other,1490416305.0
1708,jadwal kereta klender baru,asking-question-schedule,1490717515.0
2336,jadwal krl stasiun pocin,asking-question-schedule,1490430373.0
2164,tanyajalan perkenalkan diri dong,asking-question-other,1490483782.0
451,ah cupu,giving-negative-feedback,1492474314.0
